Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
SIGIND,400,38.7,81.65,32660,17180,110.98,-1.33
SIRCA,500,178.89,377.85,188925,99478.8,111.22,-1.11
SJS,1,444.35,618.55,618.55,174.2,39.2,2.6
SJVN,800,28.05,142.25,113800,91360,407.13,11.57
SKCIL,100,239.78,244.05,24405,427.4,1.78,-2.38
SKP-SM,1000,210,310.8,310800,100800,48,20
SMLT,100,97.5,325.9,32590,22840,234.26,0.9
SOBHA,90,529.24,1414.4,127296,79664.85,167.25,-1.15
SONACOMS,50,460.45,630.35,31517.5,8495,36.9,0.17
SOTL,200,139.18,424.25,84850,57013.5,204.82,0.69
SOUTHBANK,2500,24.9,38.78,96950,34700,55.74,3.86
SPANDANA,50,1045.95,1016.9,50845,-1452.55,-2.78,2.3
SPIC,200,17.9,98.65,19730,16150,451.12,10.46
SPLIL,300,66.12,71.15,21345,1507.55,7.6,-1.39
SPORTKING,20,873.9,819.15,16383,-1095.05,-6.27,0.7
SRHHYPOLTD,15,813.17,587.8,8817,-3380.55,-27.71,-0.06
SSWL,200,155.8,275.5,55100,23939.85,76.83,-0.25
STAR,40,405.51,698,27920,11699.5,72.13,0.61
STARCEMENT,150,114.05,185.4,27810,10702.5,62.56,-0.46
STERTOOLS,1,139,364.5,364.5,225.5,162.23,-0.95
STLTECH,300,151.21,140.35,42105,-3258.45,-7.18,-1.4
STOVACQ,4,2190,2465.5,9862,1102,12.58,-1.38
STOVEKRAFT,300,459.41,444.3,133290,-4531.5,-3.29,1.81
STYRENIX,25,708.6,1543.9,38597.5,20882.5,117.88,-0.46
SUBROS,50,424.34,654.8,32740,11522.95,54.31,-0.79
SUDARSCHEM,20,541.03,513.6,10272,-548.55,-5.07,-1.89
SUMMITSEC,25,595.5,1377.15,34428.75,19541.25,131.26,0.25
SUNDARAM-BE,1000,5.4,2.95,2950,-2450,-45.37,-1.67
SUNTECK,90,383.56,467.6,42084,7563.5,21.91,-0.65
SUNTV,45,516.82,650.55,29274.75,6018,25.88,-0.64
SUPRAJIT,50,331.3,389.5,19475,2910.2,17.57,-0.7
SURYAROSNI,60,209.01,743.1,44586,32045.5,255.54,-2.68
