Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ASIANTILES,1181,35.3,68.8,81252.8,39563.5,94.9,2
ASTEC,10,958.31,940.95,9409.5,-173.55,-1.81,1.26
AURUM,400,134.93,160,64000,10026.35,18.58,-0.56
AUTOIND,300,86.75,127.15,38145,12118.82,46.56,-2.94
AVANTEL,300,77.9,116.25,34875,11505.25,49.23,0.09
AVTNPL,136,80.07,90.99,12374.64,1484.69,13.63,-1.27
BAJEL,200,114.96,205.7,41140,18147.75,78.93,10
BANCOINDIA,110,167.61,698,76780,58343,316.45,0
BBL,12,1700,5065.55,60786.6,40386.6,197.97,-4.12
BCLIND,2900,17.21,73.32,212628,162706.85,325.93,-1.08
BCPL,300,38.4,144.1,43230,31710,275.26,4.99
BEEKAY,100,365.73,624,62400,25827.5,70.62,1.96
BEML,1,1270.13,3831.3,3831.3,2561.17,201.65,0.41
BESTAGRO,30,1128.83,744.8,22344,-11521,-34.02,-2.7
OSWALGREEN,500,45.51,42.02,21010,-1745,-7.67,-0.8
BIRLACORPN,10,886.5,1534.6,15346,6481,73.11,-5.39
BLISSGVS,250,68.9,121.05,30262.5,13037.5,75.69,8.37
BLS,400,28.15,411.65,164660,153400.85,1362.45,-0.56
BORORENEW,100,275,625.55,62555,35055,127.47,0.52
BSE,76,459.11,2465,187340,152447.55,436.91,-1.14
BSOFT,76,254.8,843.25,64087,44722.15,230.94,1.74
BYKE,600,32.1,70.08,42048,22788,118.32,1.99
CALCOM,50,56.5,162.9,8145,5320,188.32,-4.18
CANBK,150,372.15,514.4,77160,21337.5,38.22,2.59
CAPLIPOINT,15,683.95,1401.05,21015.75,10756.5,104.85,0.05
CARBORUNIV,10,883.14,1117.5,11175,2343.6,26.54,-0.23
CARERATING,60,461.58,1166.1,69966,42271.2,152.63,1.76
CCL,64,492.81,645.2,41292.8,9753.2,30.92,-3.7
CDSL,15,1579.53,1873.8,28107,4414,18.63,3.47
CEATLTD,1,933.4,2615.5,2615.5,1682.1,180.21,0.02
CHOLAFIN,1,699.15,1160.95,1160.95,461.8,66.05,1.24
CIEINDIA,100,219.59,484,48400,26441.3,120.41,0.75
CLOUD-SM,1000,158.85,108.35,108350,-50500,-31.79,-1.59
CLSEL,200,99.65,248.2,49640,29710,149.07,-2.76
COCHINM,100,107.4,281.85,28185,17445,162.43,0.55
COCHINSHIP,100,147.93,905.2,90520,75727.5,511.93,-0.7
CORALFINAC-BE,201,38.32,61.3,12321.3,4618.65,59.96,-1.45
CORDSCABLE,200,48.7,146.4,29280,19540.2,200.62,7.73
