Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
TATACHEM,40,924.35,1103.85,44154.0,7180.0,19.42,-2.44
AMJLAND,300,30.85,41.25,12375.0,3120.0,33.71,-2.48
NAHARINDUS,200,93.52,128.05,25610.0,6906.2,36.92,-2.51
SUPRIYA,150,205.05,314.0,47100.0,16342.5,53.13,-2.55
ZEEL,50,277.85,283.05,14152.5,260.0,1.87,-2.6
3IINFOLTD,250,52.25,53.65,13412.5,350.0,2.68,-2.72
MSTCLTD,1,277.75,629.05,629.05,351.3,126.48,-2.75
AEGISCHEM,1,213.25,333.95,333.95,120.7,56.6,-2.89
AHLADA,350,154.12,149.9,52465.0,-1477.5,-2.74,-2.95
AGROPHOS,125,23.55,47.35,5918.75,2975.0,101.06,-2.97
GREAVESCOT,400,142.23,156.65,62660.0,5767.5,10.14,-2.97
CHOLAFIN,1,699.15,1257.85,1257.85,558.7,79.91,-3.04
RGL,100,104.25,109.7,10970.0,545.0,5.23,-3.05
ORIENTHOT,201,92.32,124.05,24934.05,6378.6,34.38,-3.12
INSECTICID,50,452.1,671.0,33550.0,10945.0,48.42,-3.23
ASIANTILES,1181,35.3,72.7,85858.7,44169.4,105.95,-3.52
MAHASTEEL,100,112.45,110.81,11081.0,-164.0,-1.46,-3.74
TEXMOPIPES,200,44.25,77.75,15550.0,6700.0,75.71,-4.3
ARCHITORG,500,38.9,57.29,28645.0,9195.0,47.28,-4.63
